domain,avg_d2,med_d2,sd_d2,min_d2,max_d2,delta_min_d2,delta_max_d2,avg_d5,med_d5,sd_d5,min_d5,max_d5,delta_min_d5,delta_max_d5,frac_d2,frac_d5,description,act_avg_d2,act_med_d2,act_sd_d2,act_min_d2,act_max_d2,act_delta_min_d2,act_delta_max_d2,rep_avg_d5,rep_med_d5,rep_sd_d5,rep_min_d5,rep_max_d5,rep_delta_min_d5,rep_delta_max_d5,is_activator,is_repressor,baseline_type,prior_type,gene
Short_nuclear_domain;CHD3_HUMAN;DUF1087;1286;60,-1.430015543672588,-1.3914802867237674,0.6116734779531895,-2.582916638924832,0.15457015957104603,1.1914363522010647,2.737486798495878,0.8216168858225038,0.983405392893491,0.7029593933524544,-0.837912902293363,1.8895829275414997,1.821318295186854,2.727495829834863,0.05,0.35294117647058826,Repressor,0.15457015957104603,0.15457015957104603,NA,0.15457015957104603,0.15457015957104603,0,0,-0.640467389606366,-0.640467389606366,0.27923012187166035,-0.837912902293363,-0.4430218769193688,0.19744551268699706,0.39489102537399423,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,-1.485117199702377,-1.477079284829085,0.4418332043326342,-2.150756241358947,-0.6112590461548069,0.6736769565298619,1.53949719520414,-0.10472719913280475,-0.33111678009272183,0.8540521445929387,-1.260235390389061,2.3037131949652876,0.9291186102963392,3.563948585354349,0,0.875,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-0.654782918098894,-0.6555957127161153,0.3612186148973955,-1.260235390389061,-0.02624189835204018,0.6046396776729458,1.2339934920370208,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,2.6712160926896846,2.695741806930722,0.6638240922782465,1.3779488034460674,3.9474320564194305,1.3177930034846548,2.569483252973363,0.5275695905893933,0.7748465990353077,0.6827125728083369,-1.298916020077137,1.9369486581510984,2.0737626191124447,3.2358646782282356,1,0.5,Activator,2.6712160926896846,2.695741806930722,0.6638240922782465,1.3779488034460674,3.9474320564194305,1.3177930034846548,2.569483252973363,-0.35800522898847265,-0.09961684969023502,0.5063666585616546,-1.298916020077137,-0.01345350279588808,1.199299170386902,1.285462517281249,TRUE,TRUE,Dual,Activator,
Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,2.9646070247708822,3.1430206838250476,0.9810419987473834,-0.5036073149870511,4.510068864331894,3.646627998812099,5.013676179318945,0.010883554922939926,0.11474542537006227,0.7053864938890135,-1.5510540731325329,1.5463478695555015,1.665799498502595,3.0974019426880344,0.9583333333333334,0.875,Activator,3.1153989525864447,3.151792775943444,0.6600519553645264,1.8771432529666183,4.510068864331894,1.2746495229768258,2.632925611365275,-0.5792190483574803,-0.4416718847666821,0.5014237210982582,-1.5510540731325329,-0.07926783831380113,1.1093821883658508,1.4717862348187318,TRUE,TRUE,Dual,Activator,
Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46,3.1207649546604745,3.3016961129513733,0.9214544081101068,0.16011592911532346,4.583201351945653,3.1415801838360498,4.423085422830329,0.11122818498676898,0.1972384987977167,0.6538713310634702,-0.9396627305567976,1.6110726157358024,1.1369012293545144,2.5507353462926,1,0.8333333333333334,Activator,3.1207649546604745,3.3016961129513733,0.9214544081101068,0.16011592911532346,4.583201351945653,3.1415801838360498,4.423085422830329,-0.5228376941500839,-0.5286365991262576,0.28988024587637845,-0.9396627305567976,-0.04431521029647531,0.41102613143054,0.8953475202603223,TRUE,TRUE,Dual,Activator,
Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,2.6368211706074662,2.6902866094206,0.6610443313758271,1.265622462352777,3.883789474817511,1.4246641470678232,2.618167012464734,0.43870454092887495,0.4176975641671179,0.5321725678792111,-0.5018344977565334,1.9383707826017955,0.9195320619236513,2.440205280358329,1,0.7916666666666666,Activator,2.6368211706074662,2.6902866094206,0.6610443313758271,1.265622462352777,3.883789474817511,1.4246641470678232,2.618167012464734,-0.22297138934196836,-0.2395260028711144,0.1956737407051498,-0.5018344977565334,-0.0353461437163502,0.2623084948854191,0.46648835404018324,TRUE,TRUE,Dual,Activator,
Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34,-0.29333978261107363,-0.7748959363485284,1.5215581471892292,-2.435190419136116,3.0632250168564115,1.6602944827875876,5.498415435992527,0.7463554275403219,0.9968984767190221,0.841758519194867,-0.71330997837423,2.4236682310881,1.7102084550932521,3.13697820946233,0.391304347826087,0.4583333333333333,Activator,1.4557656239910113,1.3780643527263756,1.0098162819352465,0.14218664118721092,3.0632250168564115,1.2358777115391648,2.9210383756692004,-0.4036325832661257,-0.3640489151127011,0.2594726949706476,-0.71330997837423,-0.06543166541184522,0.34926106326152895,0.6478783129623849,TRUE,TRUE,Dual,Activator,
Short_nuclear_domain;KIBRA_HUMAN;WW;1;29,1.0447161770183309,1.3079512422618225,1.6157792539323799,-3.169516262843679,3.879235091169555,4.477467505105501,7.048751354013234,0.9085174506457004,1.0983563822289901,0.884902882516074,-0.4498896097423176,2.2330909524081055,1.5482459919713079,2.6829805621504232,0.782608695652174,0.4166666666666667,Activator,1.7109339346179122,1.620877552225393,0.9471274893965058,0.2554352810652476,3.879235091169555,1.3654422711601455,3.623799810104307,-0.2727395996850979,-0.2773026144002328,0.1608828114275981,-0.4498896097423176,-0.0855731126183748,0.17258699534208483,0.3643164971239428,TRUE,TRUE,Dual,Activator,
Short_nuclear_domain;ZN597_HUMAN;KRAB;1;41,0.05470532466729109,0.25305049919478617,1.2402142519123343,-2.7762482571594136,1.4763577031357016,3.0292987563541995,4.252605960295115,2.252458851592454,2.4071383318936688,0.9381662789335952,-1.1706557547876748,3.210867966634467,3.577794086681344,4.381523721422142,0.5882352941176471,0.05555555555555555,Activator,0.9297337597258399,1.1510718847316388,0.5009897034260137,0.1928447824998293,1.4763577031357016,0.9582271022318095,1.2835129206358722,-1.1706557547876748,-1.1706557547876748,NA,-1.1706557547876748,-1.1706557547876748,0,0,TRUE,FALSE,Activator,Activator,
Short_nuclear_domain;APBB1_HUMAN;WW;229;28,-0.01139062984171628,-0.2183435152154249,1.1167658170340151,-1.7663603784385755,2.130609455761382,1.5480168632231506,3.8969698341999575,1.5410999287606983,1.6664897599236834,0.6584704431099424,-0.10642231426969424,2.656921675135223,1.7729120741933777,2.763343989404917,0.4782608695652174,0.125,Activator,0.9975584771175792,1.079314158961163,0.615682845680566,0.2822702291501172,2.130609455761382,0.7970439298110459,1.848339226611265,-0.10642231426969424,-0.10642231426969424,NA,-0.10642231426969424,-0.10642231426969424,0,0,TRUE,FALSE,Activator,Activator,
