plasmid,description,avg_enrichment_d2,composition,character,Citrine On,mCitrine-A,bprime,lambda,sigma_on,sigma_off,mu_off,date,f_on,mfi
134,MYBA - ZN473,1.6889796833838289,A-A,Activator,0.3152941176470588,19953002.188482974,0.4970061947347734,379.0027493757132,0.7368796968851119,0.2334669763898449,6.353125464239877,2022/03/03,0.2679256965944272,19953002.188482974
134,MYBA - ZN473,1.6889796833838289,A-A,Activator,0.3152941176470588,19953002.188482974,0.4970061947347734,379.0027493757132,0.7368796968851119,0.2334669763898449,6.353125464239877,2022/08/24,0.3278032036613272,23787450.727688786
135,Ctrl - ZN473,-1.6626524364215518,C-A,Activator,0.0379218175743401,3141384.7813787726,0.2029548092047152,1.0000000156065408e-05,0.3358080690816042,0.1324332499156661,6.3409789573110364,2022/03/03,0.0273415747856108,3141384.7813787726
136,ANM2 - Ctrl,-1.1374517886192814,A-C,Activator,0.0072857495677945,2300829.905655717,0.1121927350893631,1.0000000014012968e-05,0.332695828889592,0.1257629242032876,6.318724168987245,2022/03/03,0.0032106693010619,2300829.905655717
138,KIBRA - Ctrl,-0.9048309492984768,A-C,Activator,0.0058600482592209,2317403.642881765,0.0877646658500386,1.0000076334534618e-05,0.2795720988504704,0.1284980493502138,6.318473941292326,2022/03/03,0.0024704125014362,2317403.642881765
141,BIN1 - Ctrl,-1.2296619846764756,R-C,Repressor,0.0084186894906692,2343906.426079229,0.1337070595343773,1.0000000000017858e-05,0.2547536264051577,0.1286374734196948,6.312084882633414,2022/03/03,0.0044431972311865,2343906.426079229
142,Ctrl - FOXO3,1.433140260721649,C-A,Activator,0.2059281696235396,15301825.013587192,0.3068268032781018,335.49624756914994,0.7156126972577037,0.1847106356482357,6.369181997734178,2022/03/03,0.1795326698398961,15301825.013587192
144,MYB only,1.1203169902798096,A-C,Activator,0.2999243888095438,10043810.637318322,0.4589125573167549,915.6018140569452,0.4765340282264234,0.2574437075103721,6.241111559208039,2022/03/03,0.2501050155423002,10043810.637318322
144,SMCA2 - Ctrl,1.1203169902798096,A-C,Activator,0.2999243888095438,10043810.637318322,0.5126293393638606,264.1381464839489,0.4784748661458546,0.1661089804503619,6.400130210727712,2022/03/03,0.2501050155423002,10043810.637318322
157,NOTC2 - Ctrl,-1.2963383044914143,A-C,Activator,0.003392868574355,2289893.074194994,0.0592314067482353,1.00000000012814e-05,0.3123976176046089,0.1284623703717214,6.326338861510772,2022/03/03,0.0014723769284936,2289893.074194994
