plasmid,date,description,bprime,lambda,sigma_on,sigma_off,mu_off
80,2022-03-03,BIN1 - FOXO3,0.479868312253261,724.6573774338275,0.5469756432753081,0.2531762320984971,6.422906625780421
81,2021-11-15,CACO1 - ANM2,0.6231109794439788,1052.6174463195348,0.7078016970021532,0.25331953300362964,6.2552930892370915
82,2021-11-15,CREM - MPP8,0.06541801148229646,1.0000000000355792e-05,4.999999999999896,0.14546587914508366,6.267313853648865
83,2021-11-15,DPF1 - HSF2,0.0839159756551921,1.0000000000000003e-05,1.404278979470777,0.14889254783162686,6.24648544582976
84,2021-11-15,DPY30 - HXA13,0.08981738910967582,1.0000000000000003e-05,0.7810528561501648,0.1359415860343375,6.264276195256215
87,2021-11-15,MPP8 - ZNF791,0.07156183207368844,1.0000000012522448e-05,4.231060457232104,0.14296538439320483,6.250099046607231
90,2021-11-15,NOTC2 - ANM2,0.4693958733582266,1107.567798639018,0.6071935953254123,0.2549910520501101,6.2389492641126685
90,2022-03-03,NOTC2 - ANM2,0.7396823421908897,1252.705315756944,0.4567599932452246,0.7610650610936218,7.495765257568523
91,2021-11-15,NOTC2 - KIBRA,0.3243609171879197,49.0275893290389,0.6837011439513896,0.17978061249895672,6.251008123750565
91,2022-03-03,NOTC2 - KIBRA,0.26399868619516015,245.8196079953725,0.8217167389219665,0.17769039440130094,6.322531843422367
92,2021-11-15,SMCA2 - U2AF4,0.4718504328619534,578.2845917426743,0.85501256024699,0.2187084449833919,6.276977617301597
92,2022-03-03,SMCA2 - U2AF4,0.48566779937313426,957.5633597960971,0.49278461907576004,0.36319511097115986,6.625738169249236
93,2021-11-15,SUMO3 - SSX2,0.08015718571599657,1.0000000000008666e-05,3.9170255375736955,0.14892612251184528,6.227587815768273
94,2021-11-15,YAF2 - ZNF791,0.06469182863672684,1.0000000148528499e-05,4.999999999948398,0.15425575320720053,6.235692862995063
96,2021-11-15,ATRX - HERC2,0.05182728114856459,1.000000000711823e-05,4.788379307796615,0.14983122612187788,6.264286399531934
97,2021-11-15,SCML2 - NOTC2,0.05760576028010313,1.000001923907069e-05,4.99999999980043,0.14929292406115185,6.251387721810658
98,2021-11-15,CHD4 - CDYL2,0.05918403281530617,1.0000016302210354e-05,4.999999999915427,0.15844869250648427,6.2531814242184875
99,2021-11-15,SMN2 - FOXO3,0.4028065119735554,978.4129892914581,0.4147807661533577,0.24420923377579562,6.214381306612019
125,2022-03-03,BTK - ABL1,0.5008403840089982,971.4494736689908,0.5462754554099825,0.35998990326426733,6.561181377927693
126,2021-11-15,rTetR only,0.05814504783386191,1.0000000000000023e-05,2.981846244526655,0.14712080484594148,6.259836593951187
126,2022-03-03,U2AF4 - BTK,0.7930388076359126,1157.090957054928,0.44385835878089563,0.6208626532494234,6.889098848872831
127,2022-03-03,BTK - WWP2,0.8893871304264606,833.2041697549218,0.5802093635999785,0.25490190628051285,6.579485219916839
129,2022-03-03,BTK - Ctrl,0.550043619783061,83.53783127727696,0.24623317568544323,0.15194831984259105,6.356117668700046
130,2022-03-03,Ctrl - ABL1,0.10054428713174786,1.0000000046728542e-05,0.26560877232733215,0.12825513297321695,6.314958224740843
131,2022-03-03,U2AF4 - Ctrl,0.09820871699760474,1.0000012945478571e-05,0.36599221843086915,0.13029713836368553,6.312753416366092
132,2022-03-03,CTRL - WWP2,0.10366248675582813,1.0000030517336431e-05,0.34736165514921347,0.1310063935179085,6.329101816079725
133,2022-03-03,MYBA - Ctrl,0.6533982490748996,710.8421020739761,0.483078452111334,0.27040557743094884,6.467784708609152
134,2022-03-03,MYBA - ZN473,0.43496991792112155,371.78856119816936,0.6837912000633226,0.235913535890597,6.3762517533875664
135,2022-03-03,Ctrl - ZN473,0.22901141987387894,1.0000000000183983e-05,0.34298577125031027,0.12894599970676127,6.34069377360886
136,2022-03-03,ANM2 - Ctrl,0.12356819821239279,1.0000000055925617e-05,0.3115428704487402,0.12428857445102827,6.317210859645156
